year,election_type,district,ward,ed_num,ed_label,shapefile_key,Julie Propis Penman,Marc A. Coppola,"Blank, Void & Scattering",TOTAL,Brian C. Davis,David A. Franczyk,Anthony Pendergrass,Patsy J. Bevelock Jr.,Richard A. Fontana,Ricky T. Donovan Sr.,Antoine M. Thompson,Dominic J. Bonifacio Jr.,Dominic J. Bonifacio Jr. Consevative,Joseph Golombek Jr.,Genevieve M. Kenyon,James D. Griffin,Mary M. Martino,Bonnie E. Russell
2003,general,masten,MAS,25,25th District ……………,Buffalo MAS 25,,,26,135,,,,,,,109.0,,,,,,,
2003,general,masten,MAS,26,26th District ……………,Buffalo MAS 26,,,31,196,,,,,,,165.0,,,,,,,
2003,general,masten,MAS,27,27th District ……………,Buffalo MAS 27,,,21,213,,,,,,,192.0,,,,,,,
2003,general,masten,MAS,28,28th District ……………,Buffalo MAS 28,,,33,171,,,,,,,138.0,,,,,,,
2003,general,masten,MAS,29,29th District ……………,Buffalo MAS 29,,,35,147,,,,,,,112.0,,,,,,,
2003,general,masten,MAS,30,30th District ……………,Buffalo MAS 30,,,17,119,,,,,,,102.0,,,,,,,
2003,general,masten,MAS,31,31st District ……………,Buffalo MAS 31,,,30,139,,,,,,,109.0,,,,,,,
2003,general,masten,MAS,32,32nd District ……………,Buffalo MAS 32,,,26,144,,,,,,,118.0,,,,,,,
2003,general,masten,MAS,33,33rd District ……………,Buffalo MAS 33,,,27,237,,,,,,,210.0,,,,,,,
2003,general,masten,MAS,34,34th District ……………,Buffalo MAS 34,,,28,129,,,,,,,101.0,,,,,,,
2003,general,masten,MAS,35,35th District ……………,Buffalo MAS 35,,,33,192,,,,,,,159.0,,,,,,,
2003,general,masten,MAS,36,36th District ……………,Buffalo MAS 36,,,24,129,,,,,,,105.0,,,,,,,
2003,general,masten,MAS,37,37th District ……………,Buffalo MAS 37,,,25,119,,,,,,,94.0,,,,,,,
2003,general,masten,MAS,38,38th District ……………,Buffalo MAS 38,,,36,135,,,,,,,99.0,,,,,,,
2003,general,masten,MAS,39,39th District ……………,Buffalo MAS 39,,,18,56,,,,,,,38.0,,,,,,,
2003,general,masten,MAS,40,40th District ……………,Buffalo MAS 40,,,32,171,,,,,,,139.0,,,,,,,
2003,general,masten,MAS,41,41st District ……………,Buffalo MAS 41,,,58,201,,,,,,,143.0,,,,,,,
2003,general,niagara,NIA,1,1st District ……………,Buffalo NIA 1,,,62,271,,,,,,,,202.0,7.0,,,,,
2003,general,niagara,NIA,2,2nd District ……………,Buffalo NIA 2,,,32,120,,,,,,,,83.0,5.0,,,,,
2003,general,niagara,NIA,3,3rd District ……………,Buffalo NIA 3,,,64,242,,,,,,,,171.0,7.0,,,,,
2003,general,niagara,NIA,4,4th District ……………,Buffalo NIA 4,,,12,39,,,,,,,,25.0,2.0,,,,,
2003,general,niagara,NIA,5,5th District ……………,Buffalo NIA 5,,,48,182,,,,,,,,132.0,2.0,,,,,
2003,general,niagara,NIA,6,6th District ……………,Buffalo NIA 6,,,17,197,,,,,,,,169.0,11.0,,,,,
2003,general,niagara,NIA,7,7th District ……………,Buffalo NIA 7,,,49,177,,,,,,,,125.0,3.0,,,,,
2003,general,niagara,NIA,8,8th District ……………,Buffalo NIA 8,,,55,243,,,,,,,,175.0,13.0,,,,,
2003,general,niagara,NIA,9,9th District ……………,Buffalo NIA 9,,,72,305,,,,,,,,228.0,5.0,,,,,
2003,general,niagara,NIA,10,10th District ……………,Buffalo NIA 10,,,46,195,,,,,,,,147.0,2.0,,,,,
2003,general,niagara,NIA,11,11th District ……………,Buffalo NIA 11,,,25,129,,,,,,,,96.0,8.0,,,,,
2003,general,niagara,NIA,12,12th District ……………,Buffalo NIA 12,,,15,98,,,,,,,,77.0,6.0,,,,,
2003,general,niagara,NIA,13,13th District ……………,Buffalo NIA 13,,,57,216,,,,,,,,147.0,12.0,,,,,
2003,general,niagara,NIA,14,14th District ……………,Buffalo NIA 14,,,102,459,,,,,,,,350.0,7.0,,,,,
2003,general,niagara,NIA,15,15th District ……………,Buffalo NIA 15,,,25,116,,,,,,,,89.0,2.0,,,,,
2003,general,niagara,NIA,16,16th District ……………,Buffalo NIA 16,,,34,176,,,,,,,,140.0,2.0,,,,,
2003,general,niagara,NIA,17,17th District ……………,Buffalo NIA 17,,,15,74,,,,,,,,58.0,1.0,,,,,
2003,general,niagara,NIA,18,18th District ……………,Buffalo NIA 18,,,27,155,,,,,,,,122.0,6.0,,,,,
2003,general,niagara,NIA,19,19th District ……………,Buffalo NIA 19,,,41,177,,,,,,,,134.0,2.0,,,,,
2003,general,niagara,NIA,20,20th District ……………,Buffalo NIA 20,,,37,163,,,,,,,,122.0,4.0,,,,,
2003,general,niagara,NIA,21,21st District ……………,Buffalo NIA 21,,,32,157,,,,,,,,119.0,6.0,,,,,
2003,general,niagara,NIA,22,22nd District ……………,Buffalo NIA 22,,,27,140,,,,,,,,105.0,8.0,,,,,
2003,general,niagara,NIA,23,23rd District ……………,Buffalo NIA 23,,,16,97,,,,,,,,79.0,2.0,,,,,
