year,election_type,district,ward,ed_num,ed_label,shapefile_key,Joel Feroleto,"Blank, Void, & Scattering",TOTAL,Darius G. Pridgen,Mitch Nowakowski,Raymond Brinson,Mohammed Jahangir Alam United Fillmore District,David P. Howard Choice,Sam Herbert,Bryan J. Bollman,Antionette T. Craig Lovejoy United 5,Ulysees O. Wingo,Veronica Golden,Nate Boyd,David A. Rivera,Mark T. Supples,Charley Tarr,Joseph Golombek Jr.,Christopher P. Scanlon,Rasheed N. Wyatt,Dorethea Franklin
2019,general,fillmore,FIL,32,Fil 032,Buffalo FIL 32,,4,63,,39.0,8.0,10.0,2.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,33,Fil 033,Buffalo FIL 33,,8,89,,49.0,8.0,24.0,0.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,34,Fil 034,Buffalo FIL 34,,10,70,,24.0,22.0,13.0,1.0,0.0,,,,,,,,,,,,
2019,general,fillmore,FIL,35,Fil 035,Buffalo FIL 35,,9,76,,46.0,15.0,5.0,1.0,0.0,,,,,,,,,,,,
2019,general,lovejoy,LOV,1,Lov 001,Buffalo LOV 1,,7,53,,,,,,,35.0,11.0,,,,,,,,,,
2019,general,lovejoy,LOV,2,Lov 002,Buffalo LOV 2,,0,17,,,,,,,12.0,5.0,,,,,,,,,,
2019,general,lovejoy,LOV,3,Lov 003,Buffalo LOV 3,,18,120,,,,,,,73.0,29.0,,,,,,,,,,
2019,general,lovejoy,LOV,4,Lov 004,Buffalo LOV 4,,18,94,,,,,,,60.0,16.0,,,,,,,,,,
2019,general,lovejoy,LOV,5,Lov 005,Buffalo LOV 5,,8,92,,,,,,,64.0,20.0,,,,,,,,,,
2019,general,lovejoy,LOV,6,Lov 006,Buffalo LOV 6,,17,142,,,,,,,102.0,23.0,,,,,,,,,,
2019,general,lovejoy,LOV,7,Lov 007,Buffalo LOV 7,,8,42,,,,,,,22.0,12.0,,,,,,,,,,
2019,general,lovejoy,LOV,8,Lov 008,Buffalo LOV 8,,4,28,,,,,,,18.0,6.0,,,,,,,,,,
2019,general,lovejoy,LOV,9,Lov 009,Buffalo LOV 9,,7,94,,,,,,,71.0,16.0,,,,,,,,,,
2019,general,lovejoy,LOV,10,Lov 010,Buffalo LOV 10,,17,98,,,,,,,58.0,23.0,,,,,,,,,,
2019,general,lovejoy,LOV,11,Lov 011,Buffalo LOV 11,,8,47,,,,,,,22.0,17.0,,,,,,,,,,
2019,general,lovejoy,LOV,12,Lov 012,Buffalo LOV 12,,5,114,,,,,,,83.0,26.0,,,,,,,,,,
2019,general,lovejoy,LOV,13,Lov 013,Buffalo LOV 13,,20,122,,,,,,,83.0,19.0,,,,,,,,,,
2019,general,lovejoy,LOV,14,Lov 014,Buffalo LOV 14,,27,198,,,,,,,129.0,42.0,,,,,,,,,,
2019,general,lovejoy,LOV,15,Lov 015,Buffalo LOV 15,,9,56,,,,,,,42.0,5.0,,,,,,,,,,
2019,general,lovejoy,LOV,16,Lov 016,Buffalo LOV 16,,11,147,,,,,,,107.0,29.0,,,,,,,,,,
2019,general,lovejoy,LOV,17,Lov 017,Buffalo LOV 17,,7,136,,,,,,,113.0,16.0,,,,,,,,,,
2019,general,lovejoy,LOV,18,Lov 018,Buffalo LOV 18,,9,119,,,,,,,93.0,17.0,,,,,,,,,,
2019,general,lovejoy,LOV,19,Lov 019,Buffalo LOV 19,,8,66,,,,,,,45.0,13.0,,,,,,,,,,
2019,general,lovejoy,LOV,20,Lov 020,Buffalo LOV 20,,1,66,,,,,,,56.0,9.0,,,,,,,,,,
2019,general,lovejoy,LOV,21,Lov 021,Buffalo LOV 21,,5,57,,,,,,,49.0,3.0,,,,,,,,,,
2019,general,lovejoy,LOV,22,Lov 022,Buffalo LOV 22,,6,29,,,,,,,20.0,3.0,,,,,,,,,,
2019,general,lovejoy,LOV,23,Lov 023,Buffalo LOV 23,,7,86,,,,,,,70.0,9.0,,,,,,,,,,
2019,general,lovejoy,LOV,24,Lov 024,Buffalo LOV 24,,19,189,,,,,,,144.0,26.0,,,,,,,,,,
2019,general,lovejoy,LOV,25,Lov 025,Buffalo LOV 25,,1,2,,,,,,,1.0,0.0,,,,,,,,,,
2019,general,lovejoy,LOV,26,Lov 026,Buffalo LOV 26,,9,52,,,,,,,38.0,5.0,,,,,,,,,,
2019,general,lovejoy,LOV,27,Lov 027,Buffalo LOV 27,,2,16,,,,,,,14.0,0.0,,,,,,,,,,
2019,general,lovejoy,LOV,28,Lov 028,Buffalo LOV 28,,24,194,,,,,,,149.0,21.0,,,,,,,,,,
2019,general,lovejoy,LOV,29,Lov 029,Buffalo LOV 29,,19,192,,,,,,,156.0,17.0,,,,,,,,,,
2019,general,lovejoy,LOV,30,Lov 030,Buffalo LOV 30,,14,209,,,,,,,183.0,12.0,,,,,,,,,,
2019,general,lovejoy,LOV,31,Lov 031,Buffalo LOV 31,,18,171,,,,,,,127.0,26.0,,,,,,,,,,
2019,general,lovejoy,LOV,32,Lov 032,Buffalo LOV 32,,9,41,,,,,,,31.0,1.0,,,,,,,,,,
2019,general,masten,MAS,1,Mas 001,Buffalo MAS 1,,13,122,,,,,,,,,93.0,15.0,1.0,,,,,,,
2019,general,masten,MAS,2,Mas 002,Buffalo MAS 2,,10,80,,,,,,,,,31.0,38.0,1.0,,,,,,,
2019,general,masten,MAS,3,Mas 003,Buffalo MAS 3,,14,161,,,,,,,,,135.0,9.0,3.0,,,,,,,
2019,general,masten,MAS,4,Mas 004,Buffalo MAS 4,,10,114,,,,,,,,,89.0,8.0,7.0,,,,,,,
2019,general,masten,MAS,5,Mas 005,Buffalo MAS 5,,1,12,,,,,,,,,9.0,0.0,2.0,,,,,,,
2019,general,masten,MAS,6,Mas 006,Buffalo MAS 6,,7,53,,,,,,,,,40.0,2.0,4.0,,,,,,,
2019,general,masten,MAS,7,Mas 007,Buffalo MAS 7,,12,138,,,,,,,,,102.0,24.0,0.0,,,,,,,
2019,general,masten,MAS,8,Mas 008,Buffalo MAS 8,,10,76,,,,,,,,,52.0,13.0,1.0,,,,,,,
2019,general,masten,MAS,9,Mas 009,Buffalo MAS 9,,6,64,,,,,,,,,51.0,4.0,3.0,,,,,,,
2019,general,masten,MAS,10,Mas 010,Buffalo MAS 10,,8,66,,,,,,,,,49.0,8.0,1.0,,,,,,,
2019,general,masten,MAS,11,Mas 011,Buffalo MAS 11,,10,141,,,,,,,,,108.0,17.0,6.0,,,,,,,
2019,general,masten,MAS,12,Mas 012,Buffalo MAS 12,,14,143,,,,,,,,,109.0,14.0,6.0,,,,,,,
2019,general,masten,MAS,13,Mas 013,Buffalo MAS 13,,11,101,,,,,,,,,81.0,9.0,0.0,,,,,,,
2019,general,masten,MAS,14,Mas 014,Buffalo MAS 14,,5,76,,,,,,,,,50.0,18.0,3.0,,,,,,,
2019,general,masten,MAS,15,Mas 015,Buffalo MAS 15,,9,75,,,,,,,,,60.0,5.0,1.0,,,,,,,
2019,general,masten,MAS,16,Mas 016,Buffalo MAS 16,,12,51,,,,,,,,,34.0,4.0,1.0,,,,,,,
2019,general,masten,MAS,17,Mas 017,Buffalo MAS 17,,19,114,,,,,,,,,69.0,24.0,2.0,,,,,,,
2019,general,masten,MAS,18,Mas 018,Buffalo MAS 18,,4,70,,,,,,,,,52.0,8.0,6.0,,,,,,,
2019,general,masten,MAS,19,Mas 019,Buffalo MAS 19,,13,91,,,,,,,,,54.0,23.0,1.0,,,,,,,
2019,general,masten,MAS,20,Mas 020,Buffalo MAS 20,,23,140,,,,,,,,,104.0,11.0,2.0,,,,,,,
2019,general,masten,MAS,21,Mas 021,Buffalo MAS 21,,11,90,,,,,,,,,66.0,12.0,1.0,,,,,,,
2019,general,masten,MAS,22,Mas 022,Buffalo MAS 22,,11,83,,,,,,,,,54.0,15.0,3.0,,,,,,,
2019,general,masten,MAS,23,Mas 023,Buffalo MAS 23,,22,209,,,,,,,,,126.0,50.0,11.0,,,,,,,
2019,general,masten,MAS,24,Mas 024,Buffalo MAS 24,,20,203,,,,,,,,,123.0,51.0,9.0,,,,,,,
2019,general,masten,MAS,25,Mas 025,Buffalo MAS 25,,12,83,,,,,,,,,50.0,12.0,9.0,,,,,,,
2019,general,masten,MAS,26,Mas 026,Buffalo MAS 26,,8,62,,,,,,,,,43.0,8.0,3.0,,,,,,,
2019,general,masten,MAS,27,Mas 027,Buffalo MAS 27,,30,173,,,,,,,,,107.0,25.0,11.0,,,,,,,
2019,general,masten,MAS,28,Mas 028,Buffalo MAS 28,,14,102,,,,,,,,,64.0,21.0,3.0,,,,,,,
2019,general,masten,MAS,29,Mas 029,Buffalo MAS 29,,9,109,,,,,,,,,77.0,19.0,4.0,,,,,,,
2019,general,masten,MAS,30,Mas 030,Buffalo MAS 30,,19,74,,,,,,,,,41.0,12.0,2.0,,,,,,,
2019,general,masten,MAS,31,Mas 031,Buffalo MAS 31,,3,32,,,,,,,,,26.0,2.0,1.0,,,,,,,
2019,general,masten,MAS,32,Mas 032,Buffalo MAS 32,,20,98,,,,,,,,,74.0,3.0,1.0,,,,,,,
2019,general,masten,MAS,33,Mas 033,Buffalo MAS 33,,22,152,,,,,,,,,108.0,16.0,6.0,,,,,,,
2019,general,masten,MAS,34,Mas 034,Buffalo MAS 34,,7,39,,,,,,,,,24.0,6.0,2.0,,,,,,,
2019,general,masten,MAS,35,Mas 035,Buffalo MAS 35,,14,79,,,,,,,,,56.0,7.0,2.0,,,,,,,
2019,general,masten,MAS,36,Mas 036,Buffalo MAS 36,,8,63,,,,,,,,,46.0,8.0,1.0,,,,,,,
2019,general,masten,MAS,37,Mas 037,Buffalo MAS 37,,1,19,,,,,,,,,15.0,2.0,1.0,,,,,,,
2019,general,masten,MAS,38,Mas 038,Buffalo MAS 38,,6,97,,,,,,,,,80.0,10.0,1.0,,,,,,,
2019,general,masten,MAS,39,Mas 039,Buffalo MAS 39,,2,19,,,,,,,,,15.0,2.0,0.0,,,,,,,
2019,general,masten,MAS,40,Mas 040,Buffalo MAS 40,,10,72,,,,,,,,,49.0,10.0,3.0,,,,,,,
2019,general,masten,MAS,41,Mas 041,Buffalo MAS 41,,7,35,,,,,,,,,25.0,1.0,2.0,,,,,,,
2019,general,masten,MAS,42,Mas 042,Buffalo MAS 42,,13,103,,,,,,,,,67.0,15.0,8.0,,,,,,,
2019,general,niagara,NIA,1,Nia 001,Buffalo NIA 1,,2,87,,,,,,,,,,,,61.0,21.0,3.0,,,,
2019,general,niagara,NIA,2,Nia 002,Buffalo NIA 2,,6,194,,,,,,,,,,,,132.0,39.0,17.0,,,,
2019,general,niagara,NIA,3,Nia 003,Buffalo NIA 3,,1,55,,,,,,,,,,,,31.0,18.0,5.0,,,,
2019,general,niagara,NIA,4,Nia 004,Buffalo NIA 4,,1,27,,,,,,,,,,,,22.0,2.0,2.0,,,,
2019,general,niagara,NIA,5,Nia 005,Buffalo NIA 5,,16,209,,,,,,,,,,,,144.0,31.0,18.0,,,,
2019,general,niagara,NIA,6,Nia 006,Buffalo NIA 6,,1,173,,,,,,,,,,,,124.0,39.0,9.0,,,,
2019,general,niagara,NIA,7,Nia 007,Buffalo NIA 7,,1,100,,,,,,,,,,,,86.0,10.0,3.0,,,,
2019,general,niagara,NIA,8,Nia 008,Buffalo NIA 8,,10,163,,,,,,,,,,,,138.0,11.0,4.0,,,,
2019,general,niagara,NIA,9,Nia 009,Buffalo NIA 9,,4,264,,,,,,,,,,,,213.0,37.0,10.0,,,,
2019,general,niagara,NIA,10,Nia 010,Buffalo NIA 10,,6,75,,,,,,,,,,,,58.0,10.0,1.0,,,,
2019,general,niagara,NIA,11,Nia 011,Buffalo NIA 11,,4,85,,,,,,,,,,,,66.0,11.0,4.0,,,,
2019,general,niagara,NIA,12,Nia 012,Buffalo NIA 12,,1,120,,,,,,,,,,,,92.0,26.0,1.0,,,,
2019,general,niagara,NIA,13,Nia 013,Buffalo NIA 13,,3,94,,,,,,,,,,,,77.0,10.0,4.0,,,,
2019,general,niagara,NIA,14,Nia 014,Buffalo NIA 14,,5,183,,,,,,,,,,,,131.0,38.0,9.0,,,,
